account_id,month,company_size,industry,contract_type,discount_pct,regime_state,active_users,usage_growth,feature_adoption_rate,error_rate,tickets_count,ticket_growth,payment_delay_flag,current_mrr,next_month_mrr,previous_month,previous_mrr,previous_active_users,previous_feature_adoption_rate,previous_error_rate,previous_tickets_count,previous_discount_pct,mrr_change,mrr_change_pct,absolute_mrr_change,change_direction,active_users_change,active_users_change_pct,feature_adoption_change,error_rate_change,tickets_change,tickets_change_pct,discount_change,transaction_id,timestamp,transaction_type,amount,reason_code,transaction_count,transaction_ids,transaction_timestamps,transaction_types,transaction_amounts,reason_codes,transaction_amount_total,transaction_reconciliation_diff,positive_transaction_amount,negative_transaction_amount,new_arr_amount,expansion_amount,contraction_amount,churn_amount,sla_credit_amount,refund_amount,usage_overage_amount,new_arr_share,expansion_share,contraction_share,churn_share,sla_credit_share,refund_share,usage_overage_share,largest_transaction_id,largest_transaction_timestamp,largest_transaction_type,largest_transaction_amount,largest_transaction_reason_code,largest_positive_transaction_amount,largest_negative_transaction_amount,primary_transaction_type,primary_reason_code,primary_driver_amount,primary_driver_share,secondary_transaction_type,secondary_reason_code,secondary_driver_amount,secondary_driver_share,change_classification,usage_signal,adoption_signal,reliability_signal,support_signal,payment_signal,usage_growth_driver_flag,feature_adoption_driver_flag,error_rate_driver_flag,ticket_growth_driver_flag,payment_delay_driver_flag,discount_driver_flag,variance_score,variance_rank,material_variance_flag,account_contribution_to_total_change,account_contribution_pct,company_size_mrr_change,company_size_contribution_pct,industry_mrr_change,industry_contribution_pct,contract_type_mrr_change,contract_type_contribution_pct,prior_3m_avg_mrr,prior_3m_avg_change,prior_3m_avg_change_pct,prior_3m_max_change,prior_3m_min_change,change_vs_prior_3m_avg,historical_change_label,churn_flag,churn_reason_code,driver_summary,evidence_summary
ACC-0001,1,Enterprise,Technology,Annual,0.049,stable,338.0919,0.122039,0.05,0.02,0,,0,42000,42000,,,,,,,0.049,0,0,0,increase,,,,,,,,INV-2025-01-001,2025-01-06T10:00:00,New_ARR,42000,New_Logo_Signed,1,"[""INV-2025-01-001""]","[""2025-01-06T10:00:00""]","[""New_ARR""]",[42000.0],"[""New_Logo_Signed""]",42000,0,42000,0,42000,0,0,0,0,0,0,1,0,0,0,0,0,0,INV-2025-01-001,2025-01-06T10:00:00,New_ARR,42000,New_Logo_Signed,42000,0,New_ARR,New_Logo_Signed,42000,1,,,0,0,New_ARR,positive,unknown,unknown,unknown,stable,True,False,False,False,False,False,0,1,True,0,0,0,0,0,0,0,0,,,,,,,insufficient_history,False,,"New_ARR +42,000.0000","1 transactions; largest INV-2025-01-001 +42,000.0000 (New_Logo_Signed)"
ACC-0002,1,Enterprise,Healthcare,Annual,0.0064,stable,506.0866,0.071336,0.05,0.02,0,,0,58000,58000,,,,,,,0.0064,0,0,0,increase,,,,,,,,INV-2025-01-002,2025-01-17T10:00:00,New_ARR,58000,New_Logo_Signed,1,"[""INV-2025-01-002""]","[""2025-01-17T10:00:00""]","[""New_ARR""]",[58000.0],"[""New_Logo_Signed""]",58000,0,58000,0,58000,0,0,0,0,0,0,1,0,0,0,0,0,0,INV-2025-01-002,2025-01-17T10:00:00,New_ARR,58000,New_Logo_Signed,58000,0,New_ARR,New_Logo_Signed,58000,1,,,0,0,New_ARR,positive,unknown,unknown,unknown,stable,True,False,False,False,False,False,0,2,True,0,0,0,0,0,0,0,0,,,,,,,insufficient_history,False,,"New_ARR +58,000.0000","1 transactions; largest INV-2025-01-002 +58,000.0000 (New_Logo_Signed)"
ACC-0008,1,SMB,Logistics,Multi-Year,0.1711,stable,8.6556,-0.037527,0.05,0.02,0,,0,911.54,911.54,,,,,,,0.1711,0,0,0,increase,,,,,,,,INV-2025-01-003,2025-01-07T10:00:00,New_ARR,911.54,New_Logo_Signed,1,"[""INV-2025-01-003""]","[""2025-01-07T10:00:00""]","[""New_ARR""]",[911.54],"[""New_Logo_Signed""]",911.54,0,911.54,0,911.54,0,0,0,0,0,0,1,0,0,0,0,0,0,INV-2025-01-003,2025-01-07T10:00:00,New_ARR,911.54,New_Logo_Signed,911.54,0,New_ARR,New_Logo_Signed,911.54,1,,,0,0,New_ARR,negative,unknown,unknown,unknown,stable,True,False,False,False,False,False,0,3,True,0,0,0,0,0,0,0,0,,,,,,,insufficient_history,False,,New_ARR +911.5400,1 transactions; largest INV-2025-01-003 +911.5400 (New_Logo_Signed)
ACC-0011,1,SMB,Real Estate,Monthly,0.0649,stable,21.7139,0.120592,0.05,0.02,0,,0,2107.97,2107.97,,,,,,,0.0649,0,0,0,increase,,,,,,,,INV-2025-01-004,2025-01-16T10:00:00,New_ARR,2107.97,New_Logo_Signed,1,"[""INV-2025-01-004""]","[""2025-01-16T10:00:00""]","[""New_ARR""]",[2107.97],"[""New_Logo_Signed""]",2107.97,0,2107.97,0,2107.97,0,0,0,0,0,0,1,0,0,0,0,0,0,INV-2025-01-004,2025-01-16T10:00:00,New_ARR,2107.97,New_Logo_Signed,2107.97,0,New_ARR,New_Logo_Signed,2107.97,1,,,0,0,New_ARR,positive,unknown,unknown,unknown,stable,True,False,False,False,False,False,0,4,False,0,0,0,0,0,0,0,0,,,,,,,insufficient_history,False,,"New_ARR +2,107.9700","1 transactions; largest INV-2025-01-004 +2,107.9700 (New_Logo_Signed)"
ACC-0030,1,SMB,Education,Multi-Year,0.0329,stable,3.9793,-0.039569,0.05,0.02,0,,0,883.45,883.45,,,,,,,0.0329,0,0,0,increase,,,,,,,,INV-2025-01-005,2025-01-27T10:00:00,New_ARR,883.45,New_Logo_Signed,1,"[""INV-2025-01-005""]","[""2025-01-27T10:00:00""]","[""New_ARR""]",[883.45],"[""New_Logo_Signed""]",883.45,0,883.45,0,883.45,0,0,0,0,0,0,1,0,0,0,0,0,0,INV-2025-01-005,2025-01-27T10:00:00,New_ARR,883.45,New_Logo_Signed,883.45,0,New_ARR,New_Logo_Signed,883.45,1,,,0,0,New_ARR,negative,unknown,unknown,unknown,stable,True,False,False,False,False,False,0,5,False,0,0,0,0,0,0,0,0,,,,,,,insufficient_history,False,,New_ARR +883.4500,1 transactions; largest INV-2025-01-005 +883.4500 (New_Logo_Signed)
ACC-0043,1,SMB,Media,Annual,0.0855,stable,2.1603,0.033371,0.05,0.02,0,,0,465.54,465.54,,,,,,,0.0855,0,0,0,increase,,,,,,,,INV-2025-01-006,2025-01-21T10:00:00,New_ARR,465.54,New_Logo_Signed,1,"[""INV-2025-01-006""]","[""2025-01-21T10:00:00""]","[""New_ARR""]",[465.54],"[""New_Logo_Signed""]",465.54,0,465.54,0,465.54,0,0,0,0,0,0,1,0,0,0,0,0,0,INV-2025-01-006,2025-01-21T10:00:00,New_ARR,465.54,New_Logo_Signed,465.54,0,New_ARR,New_Logo_Signed,465.54,1,,,0,0,New_ARR,positive,unknown,unknown,unknown,stable,True,False,False,False,False,False,0,6,False,0,0,0,0,0,0,0,0,,,,,,,insufficient_history,False,,New_ARR +465.5400,1 transactions; largest INV-2025-01-006 +465.5400 (New_Logo_Signed)
ACC-0060,1,Mid-Market,Education,Monthly,0.0488,stable,107.8985,-0.054466,0.05,0.02,0,,0,12230.26,12230.26,,,,,,,0.0488,0,0,0,increase,,,,,,,,INV-2025-01-007,2025-01-03T10:00:00,New_ARR,12230.26,New_Logo_Signed,1,"[""INV-2025-01-007""]","[""2025-01-03T10:00:00""]","[""New_ARR""]",[12230.26],"[""New_Logo_Signed""]",12230.26,0,12230.26,0,12230.26,0,0,0,0,0,0,1,0,0,0,0,0,0,INV-2025-01-007,2025-01-03T10:00:00,New_ARR,12230.26,New_Logo_Signed,12230.26,0,New_ARR,New_Logo_Signed,12230.26,1,,,0,0,New_ARR,negative,unknown,unknown,unknown,stable,True,False,False,False,False,False,0,7,False,0,0,0,0,0,0,0,0,,,,,,,insufficient_history,False,,"New_ARR +12,230.2600","1 transactions; largest INV-2025-01-007 +12,230.2600 (New_Logo_Signed)"
ACC-0070,1,Enterprise,Technology,Annual,0.1814,stable,573.8216,-0.00117,0.05,0.02,0,,0,82488.71,82488.71,,,,,,,0.1814,0,0,0,increase,,,,,,,,INV-2025-01-008,2025-01-09T10:00:00,New_ARR,82488.71,New_Logo_Signed,1,"[""INV-2025-01-008""]","[""2025-01-09T10:00:00""]","[""New_ARR""]",[82488.71],"[""New_Logo_Signed""]",82488.71,0,82488.71,0,82488.71,0,0,0,0,0,0,1,0,0,0,0,0,0,INV-2025-01-008,2025-01-09T10:00:00,New_ARR,82488.71,New_Logo_Signed,82488.71,0,New_ARR,New_Logo_Signed,82488.71,1,,,0,0,New_ARR,stable,unknown,unknown,unknown,stable,False,False,False,False,False,False,0,8,False,0,0,0,0,0,0,0,0,,,,,,,insufficient_history,False,,"New_ARR +82,488.7100","1 transactions; largest INV-2025-01-008 +82,488.7100 (New_Logo_Signed)"
ACC-0001,2,Enterprise,Technology,Annual,0.049,stable,341.356,-0.015551,0.064958,0.010291,1,inf,0,42000,42511.23,1,42000,338.0919,0.05,0.02,0,0.049,0,0,0,increase,3.2641,0.0096544756,0.014958,-0.009709,1,inf,0,,,,0,,0,[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,0,0,No_Change,stable,positive,stable,stable,stable,False,True,False,False,False,False,0,1,True,0,0,0,0,0,0,0,0,,,,,,,insufficient_history,False,,No driver activity this period.,0 transactions
ACC-0002,2,Enterprise,Healthcare,Annual,0.0064,stable,504.2886,-0.032487,0.058901,0.014661,0,,0,58000,58000,1,58000,506.0866,0.05,0.02,0,0.0064,0,0,0,increase,-1.798,-0.0035527516,0.008901,-0.005339,0,,0,,,,0,,0,[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,0,0,No_Change,negative,stable,stable,stable,stable,True,False,False,False,False,False,0,2,True,0,0,0,0,0,0,0,0,,,,,,,insufficient_history,False,,No driver activity this period.,0 transactions
